#normal grab turn walk PG:25
#raw command (cm/step) / actual amount (cm/sec)
#60 137.384
#55 135.772
#50 131.56
#45 140.02
#40 159.26
35 164.309
30 152.04
25 128.50
20 102.916
15 70.05
10 40.82
