#Normal Walk - Right Only
#tested on dog blue 1(mac addr: 0010C6244D35)
#timestamp: 5:04pm 17/05/2005
#right RAW command / right actual command (cm/step) / time mean / std dev / distance
#40 11.9261 10732.8 427.616 200
35 11.4065 11221.7 380.938 200
30 11.1011 11530.4 332.610 200
25 10.8708 11774.7 512.218 200
20 9.22918 13175.6 547.525 190
15 7.00187 17366.8 637.935 190
10 4.91045 24763.5 617.959 190
5  2.5502  47682.5 800.895 190
