
LINEST FOR Y,,,LINEST FOR U,,,LINEST FOR V,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;2),,

1/m,-b/m,,1/m,-b/m,,1/m,-b/m,,
=1/A3,=-B3/A3,,=1/D3,=-E3/D3,,=1/G3,=-H3/G3,,

Y,,,U,,,V,
w1,b1,,w1,b1,,w1,b1,,
143,136.838,yellow,168,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,169,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,166,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,167,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,166,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,165,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
142,136.838,yellow,166,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
142,136.838,yellow,167,160.412,yellow,55,57.49,yellow,
141,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
141,136.838,yellow,171,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,171,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,171,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,170,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,165,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,165,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,165,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,165,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,172,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,165,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,166,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,55,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,165,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
143,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
148,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
150,136.838,yellow,166,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,54,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,56,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
148,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
148,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
148,136.838,yellow,171,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,165,160.412,yellow,50,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,54,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,50,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,50,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,167,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,165,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
148,136.838,yellow,166,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,166,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,165,160.412,yellow,50,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,55,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
148,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,50,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,167,160.412,yellow,50,57.49,yellow,
143,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
144,136.838,yellow,170,160.412,yellow,55,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,165,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,166,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,167,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,165,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
144,136.838,yellow,167,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
144,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
147,136.838,yellow,169,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,167,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,165,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,50,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,52,57.49,yellow,
145,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,169,160.412,yellow,52,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,50,57.49,yellow,
144,136.838,yellow,171,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
148,136.838,yellow,170,160.412,yellow,51,57.49,yellow,
145,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,172,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,171,160.412,yellow,51,57.49,yellow,
146,136.838,yellow,168,160.412,yellow,50,57.49,yellow,
148,136.838,yellow,168,160.412,yellow,51,57.49,yellow,
