
LINEST FOR Y,,,LINEST FOR U,,,LINEST FOR V,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);2;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);2;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);2;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);3;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);3;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);3;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);4;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);4;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);4;2),,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);5;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);5;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);5;2),,

1/m,-b/m,,1/m,-b/m,,1/m,-b/m,,
=1/A3,=-B3/A3,,=1/D3,=-E3/D3,,=1/G3,=-H3/G3,,

Y,,,U,,,V,
w3,b1,,w3,b1,,w3,b1,,
141,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
141,136.838,yellow,163,160.412,yellow,62,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,164,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,157,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,158,160.412,yellow,53,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,157,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,157,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
140,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,63,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
140,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,62,57.49,yellow,
140,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,64,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,54,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,64,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,157,160.412,yellow,55,57.49,yellow,
141,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,157,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,163,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,65,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
140,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
140,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,157,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,155,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,61,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,63,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,61,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
144,136.838,yellow,157,160.412,yellow,53,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
146,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,64,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,158,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,157,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,64,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,63,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,157,160.412,yellow,64,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,54,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,162,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
146,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
141,136.838,yellow,157,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
140,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,63,57.49,yellow,
143,136.838,yellow,156,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
143,136.838,yellow,157,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
140,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,58,57.49,yellow,
140,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
140,136.838,yellow,163,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,65,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
140,136.838,yellow,163,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,157,160.412,yellow,62,57.49,yellow,
140,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
141,136.838,yellow,157,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,63,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,158,160.412,yellow,61,57.49,yellow,
140,136.838,yellow,161,160.412,yellow,62,57.49,yellow,
143,136.838,yellow,158,160.412,yellow,62,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,54,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,63,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,62,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,61,57.49,yellow,
140,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,61,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,157,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,62,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,163,160.412,yellow,62,57.49,yellow,
141,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,163,160.412,yellow,61,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,63,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,162,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,56,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
142,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
142,136.838,yellow,162,160.412,yellow,60,57.49,yellow,
141,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
142,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,63,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,58,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,55,57.49,yellow,
143,136.838,yellow,157,160.412,yellow,57,57.49,yellow,
142,136.838,yellow,160,160.412,yellow,64,57.49,yellow,
145,136.838,yellow,157,160.412,yellow,61,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
146,136.838,yellow,161,160.412,yellow,55,57.49,yellow,
147,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,157,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
143,136.838,yellow,159,160.412,yellow,64,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
146,136.838,yellow,160,160.412,yellow,54,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,62,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,64,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,163,160.412,yellow,58,57.49,yellow,
146,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
146,136.838,yellow,158,160.412,yellow,55,57.49,yellow,
146,136.838,yellow,157,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,65,57.49,yellow,
143,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,62,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
146,136.838,yellow,157,160.412,yellow,56,57.49,yellow,
147,136.838,yellow,157,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,54,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,158,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,63,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,55,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
144,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,62,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
146,136.838,yellow,157,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,59,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,56,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,62,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,53,57.49,yellow,
145,136.838,yellow,162,160.412,yellow,55,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,55,57.49,yellow,
145,136.838,yellow,158,160.412,yellow,58,57.49,yellow,
144,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
144,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,162,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,52,57.49,yellow,
146,136.838,yellow,161,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,158,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,157,160.412,yellow,57,57.49,yellow,
146,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
146,136.838,yellow,161,160.412,yellow,53,57.49,yellow,
146,136.838,yellow,160,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,58,57.49,yellow,
146,136.838,yellow,159,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,59,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,57,57.49,yellow,
145,136.838,yellow,159,160.412,yellow,61,57.49,yellow,
143,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,60,57.49,yellow,
145,136.838,yellow,160,160.412,yellow,56,57.49,yellow,
146,136.838,yellow,161,160.412,yellow,61,57.49,yellow,
145,136.838,yellow,161,160.412,yellow,57,57.49,yellow,
