#Normal Walk - Turn CCW Only
#tested on dog red 1(mac addr: 0010C6245478)
#timestamp: 5:54pm 14/05/2005
#turn CCW RAW command / turn CCW actual command (cm/step) / time mean / std dev
#55 84.761  2718.23 63.0618
#50 84.3916 2730.13 60.4305 
#45 84.4408 2728.54 64.7868
#40 83.9855 2743.33 69.2037
35 84.1082 2739.33 67.3119
30 76.5398 3010.2  66.8662
25 64.9124 3549.4  73.3765
20 52.056  4426    20.5589
15 39.1079 5891.4  67.4644
10 22.1519 10400.9 195.189
5  6.19072 37217   893.98

