# Height (pix)   Distance to beacon (cm)        
# Taken to yellow on pink beacon across the field with pan = 0
100 40
86.5 50
76 60
70 80
50 100
42 120
37 140
32.5 160
29.5 180
26 200
24 220
22 240
20.5 260
19 280
18 300
16 340
14 380
12.5 420
11 460
10 500
