#Skelliptical Walk - Backward Only (Pg: 22)
#tested on dog red (mac addr: 0010C6244F15)
#timestamp: 4:00pm 12/06/2005
#calibration done by weiming
#backward RAW command / backward actual command (cm/step)
 
#-8 -19.21
#-7 -18.54
#-6   -20.85
#-5.5 -20.18
#-5   -20.80
-4.5 -20.58
-4   -19.16
-3.5 -16.28
-3   -13.48
-2.5 -10.58
-2   -7.94
-1.5 -5.53
-1   -3.14

